,authors,title,venue,year,type,id,cited by,title_ranking
318,"Abdelmalek Berkani, Adrian Holzer, Kilian Stoffel",Pattern Matching in Meter Detection of Arabic Classical Poetry.,AICCSA,2020,Conference and Workshop Papers,patternmatchinginmeterdetectionofarabicclassicalpoetry2020,,Pattern Matching Meter Detection Arabic Classical Poetry
319,"Mariam Orabi, Hozayfa El Rifai, Ashraf Elnagar",Classical Arabic Poetry - Classification based on Era.,AICCSA,2020,Conference and Workshop Papers,classicalarabicpoetryclassificationbasedonera2020,,Classical Arabic Poetry Classification based Era
320,"Ahmed Omar 0001, Tarek M. Mahmoud, Tarek Abd-El-Hafeez",Comparative Performance of Machine Learning and Deep Learning Algorithms for Arabic Hate Speech Detection in OSNs.,AICV,2020,Conference and Workshop Papers,comparativeperformanceofmachinelearninganddeeplearningalgorithmsforarabichatespeechdetectioninosns2020,,Comparative Performance Machine Learning Deep Learning Algorithms Arabic Hate Speech Detection OSNs
321,"Saad M. Darwish, Osama Farouk Hassan, Khaled Osama Elzoghaly",Arabic Offline Character Recognition Model Using Non-dominated Rank Sorting Genetic Algorithm.,AISI,2020,Conference and Workshop Papers,arabicofflinecharacterrecognitionmodelusingnondominatedranksortinggeneticalgorithm2020,,Arabic Offline Character Recognition Model Nondominated Rank Sorting Genetic Algorithm
322,"Fady K. Fahmy, Mahmoud I. Khalil, Hazem M. Abbas",A Transfer Learning End-to-End Arabic Text-To-Speech (TTS) Deep Architecture.,ANNPR,2020,Conference and Workshop Papers,atransferlearningendtoendarabictexttospeechttsdeeparchitecture2020,,Transfer Learning EndtoEnd Arabic TextToSpeech TTS Deep Architecture
323,"Saeed Albukhitan, Ahmed Al-Nazer, Tarek Helmy",Framework of Semantic Annotation of Arabic Document using Deep Learning.,ANT/EDI40,2020,Conference and Workshop Papers,frameworkofsemanticannotationofarabicdocumentusingdeeplearning2020,1.0,Framework Semantic Annotation Arabic Document Deep Learning
324,"Ibtissem Hadj Ali, Mohamed Ali Mahjoub",Structure relationship classification for the recognition of mathematical expression handwritten in Arabic.,ATSIP,2020,Conference and Workshop Papers,structurerelationshipclassificationfortherecognitionofmathematicalexpressionhandwritteninarabic2020,,Structure relationship classification recognition mathematical expression handwritten Arabic
325,"Tushar Agrawal, Siddhaling Urolagin",2-way Arabic Sign Language Translator using CNNLSTM Architecture and NLP.,BDET,2020,Conference and Workshop Papers,2wayarabicsignlanguagetranslatorusingcnnlstmarchitectureandnlp2020,,2way Arabic Sign Language Translator CNNLSTM Architecture NLP
326,Wilfrid Hodges,Medieval Arabic Notions of Algorithm - Some Further Raw Evidence.,Fields of Logic and Computation III,2020,Conference and Workshop Papers,medievalarabicnotionsofalgorithmsomefurtherrawevidence2020,,Medieval Arabic Notions Algorithm Raw Evidence
327,"Adnan H. Yahya, Afnan Ahmad, Alaa Assaf, Rawan Khater, Ali Salhi",Models for Arabic Document Quality Assessment.,BIS,2020,Conference and Workshop Papers,modelsforarabicdocumentqualityassessment2020,,Models Arabic Document Quality Assessment
328,"Aya Mousa, Ismail Shahin, Ali Bou Nassif, Ashraf Elnagar",Cascaded RBF-CBiLSTM for Arabic Named Entity Recognition.,CCCI,2020,Conference and Workshop Papers,cascadedrbfcbilstmforarabicnamedentityrecognition2020,,Cascaded RBFCBiLSTM Arabic Named Entity Recognition
329,"Maram Hasanain, Tamer Elsayed",bigIR at CheckThat! 2020 - Multilingual BERT for Ranking Arabic Tweets by Check-worthiness.,CLEF,2020,Conference and Workshop Papers,bigiratcheckthat 2020multilingualbertforrankingarabictweetsbycheckworthiness2020,,bigIR CheckThat 2020 Multilingual BERT Ranking Arabic Tweets Checkworthiness
330,"Maram Hasanain, Fatima Haouari, Reem Suwaileh, Zien Sheikh Ali, Bayan Hamdan, Tamer Elsayed, Alberto Barrón-Cedeño, Giovanni Da San Martino, Preslav Nakov",Overview of CheckThat! 2020i Arabic - Automatic Identification and Verification of Claims in Social Media.,CLEF,2020,Conference and Workshop Papers,overviewofcheckthat2020iarabicautomaticidentificationandverificationofclaimsinsocialmedia2020,,Overview CheckThat 2020i Arabic Automatic Identification Verification Claims Social
331,"Yavuz Selim Kartal, Mücahid Kutlu",TOBB ETU at CheckThat! 2020 - Prioritizing English and Arabic Claims Based on Check-Worthiness.,CLEF,2020,Conference and Workshop Papers,tobbetuatcheckthat 2020prioritizingenglishandarabicclaimsbasedoncheckworthiness2020,,TOBB ETU CheckThat 2020 Prioritizing Arabic Claims Based CheckWorthiness
332,Jacquelyn H. Berry,A FIRST - Arabic-English biliterates demonstrate the SNARC effect.,CogSci,2020,Conference and Workshop Papers,afirstarabicenglishbiliteratesdemonstratethesnarceffect2020,,ArabicEnglish biliterates demonstrate SNARC effect
333,Wael Abid,The SADID Evaluation Datasets for Low-Resource Spoken Language Machine Translation of Arabic Dialects.,COLING,2020,Conference and Workshop Papers,thesadidevaluationdatasetsforlowresourcespokenlanguagemachinetranslationofarabicdialects2020,,SADID Evaluation Datasets LowResource Spoken Language Machine Translation Arabic Dialects
334,"Zhengyang Jiang, Nizar Habash, Muhamed Al-Khalil",An Online Readability Leveled Arabic Thesaurus.,COLING,2020,Conference and Workshop Papers,anonlinereadabilityleveledarabicthesaurus2020,,Online Readability Leveled Arabic Thesaurus
335,"Hamdy Mubarak, Shimaa Amer, Ahmed Abdelali, Kareem Darwish",Arabic Curriculum Analysis.,COLING,2020,Conference and Workshop Papers,arabiccurriculumanalysis2020,,Arabic Curriculum Analysis
336,"Hassan Sajjad, Ahmed Abdelali, Nadir Durrani, Fahim Dalvi",AraBench - Benchmarking Dialectal Arabic-English Machine Translation.,COLING,2020,Conference and Workshop Papers,arabenchbenchmarkingdialectalarabicenglishmachinetranslation2020,,AraBench Benchmarking Dialectal ArabicEnglish Machine Translation
337,"Aicha Zitouni, Leila Falek, Mourad Abbas, Mohamed Lichouri, Khaled Lounnas",Analysis of the Influence of the Arabic Fricatives Vocalic Context on Their Spectral Parameters.,CSA,2020,Conference and Workshop Papers,analysisoftheinfluenceofthearabicfricativesvocaliccontextontheirspectralparameters2020,,Analysis Influence Arabic Fricatives Vocalic Context Spectral Parameters
338,"Btool Hamoui, Abdulaziz Alashaikh, Eisa Alanazi",COVID-19 - What Are Arabic Tweeters Talking About?,CSoNet,2020,Conference and Workshop Papers,covid19whatarearabictweeterstalkingabout2020,,COVID19 Arabic Tweeters Talking
339,"Tim Schlippe, Shaimaa Alessai, Ghanimeh El-Taweel, Matthias Wölfel, Wajdi Zaghouani",Visualizing Voice Characteristics with Type Design in Closed Captions for Arabic.,CW,2020,Conference and Workshop Papers,visualizingvoicecharacteristicswithtypedesigninclosedcaptionsforarabic2020,,Visualizing Voice Characteristics Type Design Closed Captions Arabic
340,Itay Marienberg-Millikowsky,Sober Hopes - Designing an Introductory Course for Computational Research in Hebrew / Arabic Texts.,DH,2020,Conference and Workshop Papers,soberhopesdesigninganintroductorycourseforcomputationalresearchinhebrewarabictexts2020,,Sober Hopes Designing Introductory Course Computational Research Hebrew Arabic Texts
341,"Maram Almaghrabi, Girija Chetty",Improving Sentiment Analysis in Arabic and English Languages by Using Multi-Layer Perceptron Model (MLP).,DSAA,2020,Conference and Workshop Papers,improvingsentimentanalysisinarabicandenglishlanguagesbyusingmultilayerperceptronmodelmlp2020,,Improving Sentiment Analysis Arabic Languages MultiLayer Perceptron Model MLP
342,"Hamza Abbad, Shengwu Xiong",Multi-components System for Automatic Arabic Diacritization.,ECIR,2020,Conference and Workshop Papers,multicomponentssystemforautomaticarabicdiacritization2020,4.0,Multicomponents System Automatic Arabic Diacritization
343,"Wuwei Lan, Yang Chen, Wei Xu 0004, Alan Ritter",An Empirical Study of Pre-trained Transformers for Arabic Information Extraction.,EMNLP,2020,Conference and Workshop Papers,anempiricalstudyofpretrainedtransformersforarabicinformationextraction2020,2.0,Empirical Study Pretrained Transformers Arabic Information Extraction
344,"Husamelddin A. M. Balla, Sarah Jane Delany",Exploration of Approaches to Arabic Named Entity Recognition.,CLEOPATRA@ESWC,2020,Conference and Workshop Papers,explorationofapproachestoarabicnamedentityrecognition2020,,Exploration Approaches Arabic Named Entity Recognition
345,"Manar Alkhatib, Khaled Shaalan",Boosting Arabic Named Entity Recognition Transliteration with Deep Learning.,FLAIRS Conference,2020,Conference and Workshop Papers,boostingarabicnamedentityrecognitiontransliterationwithdeeplearning2020,3.0,Boosting Arabic Named Entity Recognition Transliteration Deep Learning
346,"Abeer Al-Nafjan, Layan Al-Abdullatef, Mayar Al-Ghamdi, Nada Al-Khalaf, Wejdan Al-Zahrani","Designing SignSpeak, an Arabic Sign Language Recognition System.",HCI,2020,Conference and Workshop Papers,designingsignspeakanarabicsignlanguagerecognitionsystem2020,,Designing SignSpeak Arabic Sign Language Recognition System
347,"Mawaddah AlSabban, Sundus Alorij, Ghadeer Alshamrani, Ohoud Alharbi",Humanistic Co-design for Specific Learning Difficulties Using Scenario-Based Personas - Tangible Arabic Alphabet Blocks for Dyslexia.,HCI,2020,Conference and Workshop Papers,humanisticcodesignforspecificlearningdifficultiesusingscenariobasedpersonastangiblearabicalphabetblocksfordyslexia2020,,Humanistic Codesign Specific Learning Difficulties ScenarioBased Personas Tangible Arabic Alphabet Blocks Dyslexia
348,"Rabia Jafri, Ameera Masoud Almasoud, Reema Mohammed Taj Alshammari, Shahad Eid Mohammed Alosaimi, Raghad Talal Mohammed Alhamad, Amzan Abdullah Saleh Aldowighri",A Low-Cost Gaze-Based Arabic Augmentative and Alternative Communication System for People with Severe Speech and Motor Impairments.,HCI,2020,Conference and Workshop Papers,alowcostgazebasedarabicaugmentativeandalternativecommunicationsystemforpeoplewithseverespeechandmotorimpairments2020,,LowCost GazeBased Arabic Augmentative Alternative Communication System People Severe Speech Motor Impairments
349,"Slim Kammoun, Dawlat Darwish, Hanan Althubeany, Reem Alfull",ArSign - Toward a Mobile Based Arabic Sign Language Translator Using LMC.,HCI,2020,Conference and Workshop Papers,arsigntowardamobilebasedarabicsignlanguagetranslatorusinglmc2020,,ArSign Mobile Based Arabic Sign Language Translator LMC
350,"Amal Almazrua, Manal Almazrua, Hend Alkhalifa",Comparative Analysis of Nine Arabic Stemmers on Microblog Information Retrieval.,IALP,2020,Conference and Workshop Papers,comparativeanalysisofninearabicstemmersonmicrobloginformationretrieval2020,,Comparative Analysis Nine Arabic Stemmers Microblog Information Retrieval
351,"Yasmin Khalifa, Ashraf Elnagar","Colloquial Arabic Tweets - Collection, Automatic Annotation, and Classification.",IALP,2020,Conference and Workshop Papers,colloquialarabictweetscollectionautomaticannotationandclassification2020,,Colloquial Arabic Tweets Collection Automatic Annotation Classification
352,"Wanqiu Lin, Maulik C. Madhavi, Rohan Kumar Das, Haizhou Li 0001",Transformer-based Arabic Dialect Identification.,IALP,2020,Conference and Workshop Papers,transformerbasedarabicdialectidentification2020,,Transformerbased Arabic Dialect Identification
353,"Ayman Yafoz, Malek Mouhoub",Towards Analysing the Sentiments in the Field of Automobile with Specific Focus on Arabic Language Text.,ICAART,2020,Conference and Workshop Papers,towardsanalysingthesentimentsinthefieldofautomobilewithspecificfocusonarabiclanguagetext2020,,Towards Analysing Sentiments Field Automobile Specific Focus Arabic Language Text
354,"Suwon Shon, Ahmed M. Ali, Younes Samih, Hamdy Mubarak, James R. Glass",ADI17 - A Fine-Grained Arabic Dialect Identification Dataset.,ICASSP,2020,Conference and Workshop Papers,adi17afinegrainedarabicdialectidentificationdataset2020,10.0,ADI17 FineGrained Arabic Dialect Identification Dataset
355,"Nafaa Haffar, Emna Hkiri, Mounir Zrigui",Enrichment of Arabic TimeML Corpus.,ICCCI,2020,Conference and Workshop Papers,enrichmentofarabictimemlcorpus2020,,Enrichment Arabic TimeML Corpus
356,"Oussama El Ghoul, Ikrami Ahmed, Achraf Othman, Dena Al-Thani, Amani Al-Tamimi",An Overview of the New 8-Dots Arabic Braille Coding System.,ICCHP,2020,Conference and Workshop Papers,anoverviewofthenew8dotsarabicbraillecodingsystem2020,,Overview 8Dots Arabic Braille Coding System
357,"Takwa Ben Aïcha Gader, Afef Kacem Echi",Unconstrained Handwritten Arabic Text-lines Segmentation based on AR2U-Net.,ICFHR,2020,Conference and Workshop Papers,unconstrainedhandwrittenarabictextlinessegmentationbasedonar2unet2020,,Unconstrained Handwritten Arabic Textlines Segmentation based AR2UNet
358,"Amal AlQamash, Saleh Alhazbi",Machine Learning Approach for Detecting News Agencies&apos; Linguistic Style in Arabic.,ICIoT,2020,Conference and Workshop Papers,machinelearningapproachfordetectingnewsagenciesaposlinguisticstyleinarabic2020,,Machine Learning Approach Detecting News Agenciesapos Linguistic Style Arabic
359,"Jezia Zakraoui, Moutaz S. Saleh, Usman Asghar, Jihad Mohamad Al Ja&apos;am, Somaya Al-Máadeed",Generating Images from Arabic Story-Text using Scene Graph.,ICIoT,2020,Conference and Workshop Papers,generatingimagesfromarabicstorytextusingscenegraph2020,2.0,Generating Images Arabic StoryText Scene Graph
360,"Oumayma El Ansari, Jihad Zahir, Hajar Mousannif",A Dataset to Support Sexist Content Detection in Arabic Text.,ICISP,2020,Conference and Workshop Papers,adatasettosupportsexistcontentdetectioninarabictext2020,1.0,Dataset Support Sexist Content Detection Arabic Text
361,"Bilal Dendani, Halima Bahi, Toufik Sari",Speech Enhancement Based on Deep AutoEncoder for Remote Arabic Speech Recognition.,ICISP,2020,Conference and Workshop Papers,speechenhancementbasedondeepautoencoderforremotearabicspeechrecognition2020,,Speech Enhancement Based Deep AutoEncoder Remote Arabic Speech Recognition
362,"Oussama Zayene, Rolf Ingold, Najoua Essoukri Ben Amara, Jean Hennebert",ICPR2020 Competition on Text Detection and Recognition in Arabic News Video Frames.,ICPR Workshops,2020,Conference and Workshop Papers,icpr2020competitionontextdetectionandrecognitioninarabicnewsvideoframes2020,,ICPR2020 Competition Text Detection Recognition Arabic News Video Frames
363,"Hossam Faris, Ibrahim Aljarah, Maria Habib, Pedro A. Castillo",Hate Speech Detection using Word Embedding and Deep Learning in the Arabic Language Context.,ICPRAM,2020,Conference and Workshop Papers,hatespeechdetectionusingwordembeddinganddeeplearninginthearabiclanguagecontext2020,,Hate Speech Detection Word Embedding Deep Learning Arabic Language Context
364,"Asma O. Mahgoub, Pilsung Choe",Comparing Design Preference of Guide Road Signs by Native Arabic Speakers and International Speakers in the State of Qatar.,IEEM,2020,Conference and Workshop Papers,comparingdesignpreferenceofguideroadsignsbynativearabicspeakersandinternationalspeakersinthestateofqatar2020,,Comparing Design Preference Guide Road Signs Native Arabic Speakers International Speakers Qatar
365,"Manar Alassaf, Ali Mustafa Qamar",Aspect-Based Sentiment Analysis of Arabic Tweets in the Education Sector Using a Hybrid Feature Selection Method.,IIT,2020,Conference and Workshop Papers,aspectbasedsentimentanalysisofarabictweetsintheeducationsectorusingahybridfeatureselectionmethod2020,,AspectBased Sentiment Analysis Arabic Tweets Education Sector Hybrid Feature Selection Method
